,Title,Release_Year,Length,Kind,Rate
0,The Shawshank Redemption,1994,02:22,NC-17,9.3
1,The Godfather,1972,02:55,PG-13,9.2
2,The Dark Knight,2008,02:32,R,9.0
3,The Godfather Part II,1974,03:22,PG-13,9.0
4,12 Angry Men,1957,01:36,G,9.0
5,Schindler's List,1993,03:15,R,9.0
6,The Lord of the Rings: The Return of the King,2003,03:21,R,9.0
7,Pulp Fiction,1994,02:34,R,8.9
8,The Lord of the Rings: The Fellowship of the Ring,2001,02:58,PG-13,8.9
9,"The Good, the Bad and the Ugly",1966,02:41,R,8.8
10,Forrest Gump,1994,02:22,Not Rated,8.8
11,The Lord of the Rings: The Two Towers,2002,02:59,R,8.8
12,Fight Club,1999,02:19,R,8.8
13,Inception,2010,02:28,PG-13,8.8
14,Star Wars: Episode V - The Empire Strikes Back,1980,02:04,G,8.7
15,The Matrix,1999,02:16,R,8.7
16,GoodFellas,1990,02:25,NC-17,8.7
17,One Flew Over the Cuckoo's Nest,1975,02:13,R,8.7
18,Interstellar,2014,02:49,PG-13,8.7
19,Se7en,1995,02:07,R,8.6
20,It's a Wonderful Life,1946,02:10,Not Rated,8.6
21,Shichinin no samurai,1954,03:27,Not Rated,8.6
22,The Silence of the Lambs,1991,01:58,R,8.6
23,Saving Private Ryan,1998,02:49,PG-13,8.6
24,Cidade de Deus,2002,02:10,R,8.6
